method,n,ppl_wm,ppl_unwm,log_diversity_wm,log_diversity_unwm,bleu_wm,bleu_unwm,rouge1_wm,rouge1_unwm,rouge2_wm,rouge2_unwm,rougeL_wm,rougeL_unwm,bertscore_wm,bertscore_unwm,rel_ppl
SemMax,100,8.0399,7.6761,7.0853,7.8632,2.575,2.7585,0.3104,0.3156,0.0468,0.053,0.1513,0.1597,0.5266,0.5356,1.1165
Watermax,100,6.8775,7.6055,8.0912,7.8006,3.6747,3.4154,0.3257,0.3299,0.0619,0.06,0.157,0.158,0.5457,0.5456,0.9333
KSEMSTAMP,100,7.3516,7.671,7.7068,7.8245,3.3004,3.7158,0.3263,0.3311,0.0578,0.064,0.1568,0.1612,0.5448,0.549,1.0081
